x,y,score
0.05,0.17,1.4284
0.07,0.79,1.2712
0.04,0.96,1.15305
0.9,0.89,3.94865
0.43,0.94,2.4514
0.83,0.82,3.73825
0.7,0.79,3.32645
0.0,0.31,1.04395
0.44,0.46,2.5492
0.97,0.44,2.1829
0.81,0.54,2.91325
0.31,0.72,2.1129
0.23,0.28,1.9994
0.15,0.61,1.58565
0.93,0.32,2.40925
0.96,0.34,2.36805
0.85,0.55,2.6942
0.85,0.43,2.25305
0.24,0.8,1.8587
0.63,0.62,3.13885
0.75,0.41,2.46905
0.92,0.91,3.98835
0.66,0.13,2.7574
0.26,0.73,1.93975
0.75,0.25,2.5121
0.5,0.17,2.63215
0.27,0.6,2.01005
0.1,0.54,1.4224
0.78,0.68,3.49505
0.42,0.99,2.4153
0.2,0.49,1.79975
0.16,0.42,1.69265
0.37,0.53,2.355
0.97,0.91,4.1396
0.81,0.94,3.6479
0.58,0.16,2.65595
0.29,0.88,2.0461
0.68,0.33,2.40775
0.15,0.08,2.35065
0.39,0.89,2.3484
0.15,0.27,1.7212
0.67,0.94,3.2259
0.25,0.29,2.08655
0.19,0.59,1.75635
0.48,0.48,2.6311
0.63,0.74,3.13
0.14,0.4,1.61235
0.41,0.41,2.49275
0.27,0.69,1.99335
0.5,0.09,2.81115
0.56,0.16,2.65625
0.97,0.32,2.41795
0.56,0.9,2.8844
0.95,0.57,2.4881
0.69,0.84,3.3085
0.08,0.28,1.44835
0.29,0.53,2.09335
0.43,0.39,2.45355
0.27,0.8,1.9578
0.23,0.15,2.32395
0.67,0.51,2.6586
0.07,0.39,1.3279
0.45,0.65,2.6071
0.46,0.72,2.60455
0.01,0.54,1.05485
0.07,0.08,1.9557
0.7,0.64,3.17505
0.79,0.0,3.10135
0.99,0.7,3.4286
0.02,0.54,1.09385
0.79,0.39,2.4087
0.28,0.83,2.0014
0.73,0.19,2.64655
0.84,0.21,2.62815
0.21,0.27,1.9595
0.56,0.76,2.935
0.22,0.56,1.8501
0.03,0.24,1.2389
0.2,0.87,1.70955
0.97,0.96,4.1408
0.15,0.33,1.68255
0.64,0.77,3.1487
0.59,0.52,2.95305
0.86,0.01,3.09045
0.67,0.8,3.2591
0.36,0.16,2.55285
0.54,0.85,2.84305
0.09,0.83,1.33545
0.98,0.76,3.8463
0.71,0.12,2.7742
0.31,0.62,2.16295
0.86,0.34,2.3615
0.61,0.89,3.0366
0.46,0.56,2.5985
0.69,0.46,2.62965
1.0,0.65,3.07795
0.88,0.78,3.8506
0.23,0.09,2.58615
0.17,0.62,1.6551
0.24,0.58,1.9065
0.4,0.49,2.43
0.79,0.96,3.5869
0.8,1.0,3.6178
0.88,0.74,3.799
0.64,0.2,2.5868
0.35,0.59,2.2794
0.9,0.01,3.0955
0.14,0.9,1.5007
0.03,0.56,1.13285
0.73,0.04,2.98685
0.8,0.94,3.61955
0.36,0.3,2.34145
0.48,0.98,2.62565
0.77,0.2,2.63535
0.13,0.75,1.4852
0.73,0.63,3.33495
0.75,0.03,3.0266
0.4,0.2,2.5215
0.54,0.7,2.8733
0.07,0.42,1.3209
0.93,0.59,2.64735
0.45,0.64,2.59485
0.6,0.04,2.9529
0.53,0.4,2.56185
0.57,0.35,2.48805
0.81,0.17,2.6971
0.8,0.92,3.6227
0.24,0.29,2.06115
0.12,0.59,1.47585
0.69,0.17,2.6874
0.24,0.61,1.8963
0.61,0.98,3.0279
0.57,0.7,2.97905
0.03,0.95,1.1104
0.42,0.71,2.4592
0.7,0.56,3.08795
0.43,0.99,2.4755
0.42,0.66,2.4928
0.31,0.46,2.1861
0.09,0.72,1.344
0.98,0.12,2.8566
0.76,0.36,2.4303
0.88,0.09,2.9088
0.7,0.2,2.6174
0.44,0.64,2.55725
0.99,0.38,2.3134
0.55,0.32,2.5236
0.57,0.71,2.9532
0.89,0.46,2.2841
0.44,0.86,2.49805
0.99,0.98,4.1923
0.67,0.07,2.9136
0.11,0.63,1.4305
0.82,0.44,2.3919
0.6,0.61,2.9804
0.32,0.13,2.5821
0.1,0.98,1.351
0.19,0.81,1.676
0.58,0.6,2.9248
0.87,0.3,2.41715
0.83,0.27,2.5181
